0:0:0:0:0:0:0:1 - - [12/Sep/2014:15:03:22 +0530] "GET /APD/resources/sap/ui/layout/themes/sap_bluecrystal/library-parameters.json HTTP/1.1" 200 29482
0:0:0:0:0:0:0:1 - - [12/Sep/2014:15:03:22 +0530] "GET /APD/resources/sap/ui/layout/messagebundle_en_IN.properties HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [12/Sep/2014:15:03:22 +0530] "GET /APD/resources/sap/ui/layout/SplitterLayoutData.js HTTP/1.1" 200 571
0:0:0:0:0:0:0:1 - - [12/Sep/2014:15:03:22 +0530] "GET /APD/resources/sap/ui/table/Table.js HTTP/1.1" 200 72472
0:0:0:0:0:0:0:1 - - [12/Sep/2014:15:03:27 +0530] "GET /APD/resources/sap/ui/table/library.js HTTP/1.1" 200 1984
0:0:0:0:0:0:0:1 - - [12/Sep/2014:15:03:27 +0530] "GET /APD/resources/sap/ui/unified/library.js HTTP/1.1" 200 2423
0:0:0:0:0:0:0:1 - - [12/Sep/2014:15:03:28 +0530] "GET /APD/resources/sap/ui/unified/themes/sap_bluecrystal/library-parameters.json HTTP/1.1" 200 33001
0:0:0:0:0:0:0:1 - - [12/Sep/2014:15:03:28 +0530] "GET /APD/resources/sap/ui/unified/themes/sap_bluecrystal/library.css HTTP/1.1" 200 38839
0:0:0:0:0:0:0:1 - - [12/Sep/2014:15:03:28 +0530] "GET /APD/resources/sap/ui/table/themes/sap_bluecrystal/library-parameters.json HTTP/1.1" 200 29203
0:0:0:0:0:0:0:1 - - [12/Sep/2014:15:03:28 +0530] "GET /APD/resources/sap/ui/table/themes/sap_bluecrystal/library.css HTTP/1.1" 200 22493
0:0:0:0:0:0:0:1 - - [12/Sep/2014:15:03:28 +0530] "GET /APD/resources/sap/ui/table/Row.js HTTP/1.1" 200 616
0:0:0:0:0:0:0:1 - - [12/Sep/2014:15:03:28 +0530] "GET /APD/resources/sap/ui/table/messagebundle_en_IN.properties HTTP/1.1" 200 3365
0:0:0:0:0:0:0:1 - - [12/Sep/2014:15:03:34 +0530] "GET /APD/asset/Asian%20Paints%20logo.png HTTP/1.1" 200 12679
0:0:0:0:0:0:0:1 - - [12/Sep/2014:15:03:34 +0530] "GET /APD/asset/asianPaintBg.jpeg HTTP/1.1" 200 514145
0:0:0:0:0:0:0:1 - - [12/Sep/2014:15:03:34 +0530] "GET /APD/resources/sap/ui/core/themes/base/fonts/SAP-icons.eot? HTTP/1.1" 200 255940
